chapter_num,title,summary,word_count
1,CHAPTER II,Lizzy Bennet asked her mother to introduce her father to Mr. Bingley. Her mother said that Mrs. Long had promised to introduce him. Mr. Bennet said that he would take it on himself. He said that a fortnight’s acquaintance is certainly very little; one cannot know what a man really is by the end of a night. He added: “I was sure you loved your girls too well topersuade you at last’,72
2,CHAPTER III,"Mr. Bingley was invited to a ball at Netherfield by the Bennet family. The Bennets' neighbour, Lady Lucas, told them of his good looks and manners. The party consisted of just five people, including the father and two sisters. Mr. Darcy only danced once with Miss Bingley, and spent the rest of the evening walking about the room. Mr Darcy was so popular that he was given a large estate in Derbyshire.",72
3,CHAPTER IV,"Jane and Elizabeth Bingley met Mr. Bingley and his sisters. They were of a respectable family in the north of England. Mr Bingley inherited property to the amount of nearly a hundred thousand pounds from his father. His sisters were anxious for his having an estate of his own, but he was now established only as a tenant. The sisters were rather handsome; had been educated in one of the first private private private universities in town.",77
4,CHAPTER V,"Sir William Lucas had been formerly in trade in Meryton, where he had made a tolerable fortune. Lady Lucas was a very good kind of woman, not too clever to be a valuable neighbour to Mrs. Bennet. The eldest of them, a sensible, intelligent young woman, about twenty-seven, was Elizabeth’s intimate friend. Mr. Darcy is not so well worth listening to as his friend, Eliza, said.",66
5,CHAPTER VI,"Jane Bennet is in love with Bingley. She has known him only a fortnight. She danced with him at Meryton; she saw one morning at his house, and has since dined in company with him four times. This is not quite enough to make her understand his character. She should make the most of every half hour in which she can command his attention. When she is secure of him, there will be leisure for falling in love as much as she chooses.",83
6,CHAPTER VII,"Catherine and Lydia Bennet lived in Longbourn, a village near Meryton, England. Their father had been an attorney in the town, and their mother had left her four thousand pounds. Mr. Bennet’s property consisted almost entirely in an estate of two                thousand a year. The two youngest of the family, Catherine and Lydia, were particularly frequent in these attentions.",59
7,CHAPTER VIII,"Elizabeth Bennet was summoned to dinner by her sister, who was ill with a cold. The sisters, on hearing this, told her how grieved they were, and how they disliked being ill themselves. Their indifference towards Jane, when not immediately before them, restored her to the enjoyment of all her original dislike. Mr. Darcy, by whom Elizabeth sat, was an indolent man, who lived only to eat, drink, and play at cards.",72
8,CHAPTER IX,"Elizabeth Bennet sent a note to her mother asking her to visit Jane Longbourn. The note was immediately despatched, and Mrs. Bennet and her youngest girls reached Netherfield soon after the family breakfast. Mr. Bingley met them with hopes that Miss Bennet would be worse than she expected. But she was much worse than he had expected, and he could not bear to see her.",65
9,CHAPTER X,"Darcy was writing a letter to his sister, and was repeatedly called off his attention by Miss Bingley's praises. The perpetualcommendations of the lady either on his hand-writing, or on the evenness of his lines, formed a curious dialogue. The power of doing anything with anything is often prized by the possessor, and often prized without any attention by its possessor. When Mrs. Hurst told Mrs.Bennet that if you ever resolved on quitting Netherfield, you should be gone in five minutes, you meant it.",84
10,CHAPTER XI,"Elizabeth Bennet and her sister Jane were at a dinner party with their brother and sister-in-law. Mr. Darcy was full of joy and warmth when he saw his sister. He sat down by her, and talked scarcely to anyone else in the room. Miss Bennet took up a book, and was as much engaged in watching Mr.Darcy’s progress through his book as in reading her own.",66
11,CHAPTER XII,"Jane and Elizabeth Bennet were to stay at Netherfield till Tuesday. They were not welcomed home very cordially by their mother. They found Mary, as usual, deep in the study of thorough bass and human.nature. Catherine and Lydia had information of a different sort to listen to, and much had been said in the regiment since the preceding week. A private officer had been flogged; and it was hinted that Colonel Forster was going to be married.",77
